"Location","total_count","total_population"
"Arizona","129,244","1628054"
"California","588,421","9089743"
"Connecticut","78,916","752076"
"Florida","304,053","4163893"
"Georgia","207,109","2510284"
"Hawaii","30,630","307133"
"Illinois","207,644","2928924"
"Indiana","124,718","1575055"
"Kansas","61,729","715479"
"Kentucky","74,500","1011521"
"Maine","18,009","254211"
"Massachusetts","125,763","1376019"
"Michigan","185,141","2189505"
"Minnesota","85,117","1290638"
"Mississippi","44,741","720685"
"Missouri","115,545","1386363"
"Montana","12,728","227377"
"Nebraska","29,825","473569"
"Nevada","41,264","677630"
"New Jersey","154,201","1987515"
"New Mexico","47,112","493051"
"New York","364,877","4181345"
"Ohio","171,051","2614072"
"Oklahoma","88,720","961246"
"Oregon","46,438","869426"
"Pennsylvania","224,979","2673992"
"Rhode Island","18,846","208770"
"Utah","52,108","919428"
"Vermont","9,397","118142"
"Washington","115,898","1628413"
"Wisconsin","102,501","1287543"
