Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2016–17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent of students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Total,American Indian / Alaska Native,,Total,Asian1,Hawaiian Native/Pacific Islander1,,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities,,,,,,,,,,,,,,,,,,,,,
    United States2,84.6,72.4,,91.2,—,—,,80.0,77.8,88.6,—,78.3,66.4,67.1,,,,,,,,,,,,,,,,,,,,,
Alabama,89.3,—,,95,—,—,,88,86.5,91.0,91,—,—,—,,,,,,,,,,,,,,,,,,,,,
Alaska,78.2,69,,84,88,77,,77,74,82.2,75,72.1,58,59,,,,,,,,,,,,,,,,,,,,,
Arizona,78.0,66.8,,89,—,—,,74.5,73.8,82.8,—,72.4,30,66.4,,,,,,,,,,,,,,,,,,,,,
Arkansas,88.0,89,,86,92,69,,85.7,83.4,90.0,86,84.9,82,83.8,,,,,,,,,,,,,,,,,,,,,
California,82.7,68.2,,92.6,93.1,91.3,,80.3,73.1,87.3,70.4,78.8,67.2,65.0,,,,,,,,,,,,,,,,,,,,,
Colorado,79.1,64,,89,90,77,,71.1,71.9,83.9,80,68.5,64.6,56.8,,,,,,,,,,,,,,,,,,,,,
Connecticut,87.9,88,,95,95,81,,77.7,80.1,92.8,88,78.1,68,66.7,,,,,,,,,,,,,,,,,,,,,
Delaware,86.9,76,,95,96,≥50,,82,83.2,89.9,91,78,69,69,,,,,,,,,,,,,,,,,,,,,
District of Columbia,73.2,<>,,78,<>,<>,,72,72.4,85,≥90,72.9,63,53,,,,,,,,,,,,,,,,,,,,,
Florida,82.3,80,,92.9,93.2,87,,81.3,74.8,86.2,83.1,76.8,67.3,66.0,,,,,,,,,,,,,,,,,,,,,
Georgia,80.6,79,,91.2,—,—,,73.6,77.8,84.0,81.5,76.4,59.0,58.9,,,,,,,,,,,,,,,,,,,,,
Hawaii,82.7,79,,83.5,—,—,,80,79,80,—,77.9,69,65,,,,,,,,,,,,,,,,,,,,,
Idaho,79.7,66,,85,86,78,,74.8,70,81.1,76,71.6,75,61,,,,,,,,,,,,,,,,,,,,,
Illinois,87.0,81,,94.5,94.7,82,,83.5,78.9,90.6,86.2,79.4,73.6,71.2,,,,,,,,,,,,,,,,,,,,,
Indiana,83.8,76,,80,81,70,,75.8,70.8,87.5,82.1,80.3,50,70.9,,,,,,,,,,,,,,,,,,,,,
Iowa,91.0,83,,91,93,77,,82.4,82,92.7,85,83.7,80,74.3,,,,,,,,,,,,,,,,,,,,,
Kansas,86.5,81,,93,94,75,,81.1,78,88.8,84,78.6,79.7,78.4,,,,,,,,,,,,,,,,,,,,,
Kentucky,89.7,77,,92,93,76,,84,81.6,91.2,87,87.0,67,74.4,,,,,,,,,,,,,,,,,,,,,
Louisiana,78.1,81,,90,91,77,,67,72.8,83.7,82,72.6,36,52.5,,,,,,,,,,,,,,,,,,,,,
Maine,86.9,71,,89,88,≥50,,89,83,87.4,79,79.3,81,72.5,,,,,,,,,,,,,,,,,,,,,
Maryland,87.7,86,,96.2,96.3,89,,74.0,85.4,92.7,91,79.3,45,67.5,,,,,,,,,,,,,,,,,,,,,
Massachusetts,88.3,81,,93.9,94.1,78,,74.4,80.0,92.6,85,79.0,63.4,72.8,,,,,,,,,,,,,,,,,,,,,
Michigan,80.2,68,,90.5,90.7,85,,73.3,68.6,83.7,74.7,67.9,69.4,56.7,,,,,,,,,,,,,,,,,,,,,
Minnesota,82.7,51,,85.2,85.5,63,,66.3,64.8,88.1,71,69.0,64.7,61.2,,,,,,,,,,,,,,,,,,,,,
Mississippi,83.0,80,,91,91,≥80,,81,79.3,87.1,79,79.9,67,36.4,,,,,,,,,,,,,,,,,,,,,
Missouri,88.3,84,,91,—,—,,84.4,75.9,91.4,89,80.1,67,76.9,,,,,,,,,,,,,,,,,,,,,
Montana,85.8,69,,91,94,83,,80,81,88.7,—,76.6,63,77,,,,,,,,,,,,,,,,,,,,,
Nebraska,89.1,70,,82,82,85,,81.6,81,92.5,86,81.8,50,71,,,,,,,,,,,,,,,,,,,,,
