LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,5 to 11,1990,Number,25266803
Nation,United States,12 to 14,1990,Number,10022830
Nation,United States,15 to 17,1990,Number,10072432
Nation,United States,0 to 4,1990,Number,18856447
Nation,United States,Total less than 18,1990,Number,64218512
Nation,United States,0 to 4,1990,Percent,0.29
Nation,United States,Total less than 18,1990,Percent,1
Nation,United States,15 to 17,1990,Percent,0.16
Nation,United States,12 to 14,1990,Percent,0.16
Nation,United States,5 to 11,1990,Percent,0.39
Nation,United States,5 to 11,1991,Percent,0.39
Nation,United States,12 to 14,1991,Percent,0.16
Nation,United States,15 to 17,1991,Percent,0.15
Nation,United States,Total less than 18,1991,Percent,1
Nation,United States,0 to 4,1991,Percent,0.29
Nation,United States,0 to 4,1991,Number,19208046
Nation,United States,Total less than 18,1991,Number,65313018
Nation,United States,15 to 17,1991,Number,10067887
Nation,United States,12 to 14,1991,Number,10363807
Nation,United States,5 to 11,1991,Number,25673278
Nation,United States,5 to 11,1992,Number,25934250
Nation,United States,12 to 14,1992,Number,10742617
Nation,United States,15 to 17,1992,Number,10304269
Nation,United States,Total less than 18,1992,Number,66509177
Nation,United States,0 to 4,1992,Number,19528041
Nation,United States,Total less than 18,1992,Percent,1
Nation,United States,0 to 4,1992,Percent,0.29
Nation,United States,15 to 17,1992,Percent,0.15
Nation,United States,12 to 14,1992,Percent,0.16
Nation,United States,5 to 11,1992,Percent,0.39
Nation,United States,5 to 11,1993,Percent,0.39
Nation,United States,12 to 14,1993,Percent,0.16
Nation,United States,15 to 17,1993,Percent,0.16
Nation,United States,Total less than 18,1993,Percent,1
Nation,United States,0 to 4,1993,Percent,0.29
Nation,United States,0 to 4,1993,Number,19729275
Nation,United States,Total less than 18,1993,Number,67594938
Nation,United States,15 to 17,1993,Number,10498304
Nation,United States,12 to 14,1993,Number,11096459
Nation,United States,5 to 11,1993,Number,26270900
Nation,United States,5 to 11,1994,Number,26608252
Nation,United States,12 to 14,1994,Number,11417713
Nation,United States,15 to 17,1994,Number,10838108
Nation,United States,0 to 4,1994,Number,19776862
Nation,United States,Total less than 18,1994,Number,68640935
Nation,United States,Total less than 18,1994,Percent,1
Nation,United States,0 to 4,1994,Percent,0.29
Nation,United States,15 to 17,1994,Percent,0.16
Nation,United States,12 to 14,1994,Percent,0.17
Nation,United States,5 to 11,1994,Percent,0.39
Nation,United States,5 to 11,1995,Percent,0.39
Nation,United States,12 to 14,1995,Percent,0.17
Nation,United States,15 to 17,1995,Percent,0.16
Nation,United States,0 to 4,1995,Percent,0.28
Nation,United States,Total less than 18,1995,Percent,1
Nation,United States,0 to 4,1995,Number,19626505
Nation,United States,Total less than 18,1995,Number,69473139
Nation,United States,15 to 17,1995,Number,11201414
Nation,United States,12 to 14,1995,Number,11551244
Nation,United States,5 to 11,1995,Number,27093976
Nation,United States,5 to 11,1996,Number,27681564
Nation,United States,12 to 14,1996,Number,11614075
Nation,United States,15 to 17,1996,Number,11529601
Nation,United States,Total less than 18,1996,Number,70233512
Nation,United States,0 to 4,1996,Number,19408272
Nation,United States,Total less than 18,1996,Percent,1
Nation,United States,0 to 4,1996,Percent,0.28
Nation,United States,15 to 17,1996,Percent,0.16
Nation,United States,12 to 14,1996,Percent,0.17
Nation,United States,5 to 11,1996,Percent,0.39
Nation,United States,5 to 11,1997,Percent,0.4
Nation,United States,12 to 14,1997,Percent,0.17
Nation,United States,15 to 17,1997,Percent,0.17
Nation,United States,Total less than 18,1997,Percent,1
Nation,United States,0 to 4,1997,Percent,0.27
Nation,United States,0 to 4,1997,Number,19232671
Nation,United States,Total less than 18,1997,Number,70920737
Nation,United States,15 to 17,1997,Number,11833337
Nation,United States,12 to 14,1997,Number,11713622
Nation,United States,5 to 11,1997,Number,28141107
Nation,United States,5 to 11,1998,Number,28506845
Nation,United States,12 to 14,1998,Number,11828664
Nation,United States,15 to 17,1998,Number,11950974
Nation,United States,Total less than 18,1998,Number,71431406
Nation,United States,0 to 4,1998,Number,19144923
Nation,United States,0 to 4,1998,Percent,0.27
