County Name,Health Topic Number,Health Topic,Indicator Number,Indicator,Event Count,Average Number of Denominator,Measure Unit,Percent/Rate,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,Data Years,Data Source,Mapping Distribution,Location
Albany,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",228,58469,Rate,13,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.678066, -73.814233)"
Albany,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",228,58469,Rate,13,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.678066, -73.814233)"
Allegany,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",31,10041,Rate,10.3,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.226801, -78.020567)"
Allegany,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",31,10041,Rate,10.3,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.226801, -78.020567)"
Bronx,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",9620,366974,Rate,87.4,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.85589, -73.868294)"
Bronx,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",9620,366974,Rate,87.4,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.85589, -73.868294)"
Broome,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",149,38883,Rate,12.8,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.122015, -75.933191)"
Broome,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",149,38883,Rate,12.8,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.122015, -75.933191)"
Cattaraugus,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",54,18011,Rate,10,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.224267, -78.606673)"
Cattaraugus,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",54,18011,Rate,10,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.224267, -78.606673)"
Cayuga,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",38,16394,Rate,7.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.940095, -76.560755)"
Cayuga,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",38,16394,Rate,7.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.940095, -76.560755)"
Chautauqua,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",73,28006,Rate,8.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.246904, -79.315313)"
Chautauqua,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",73,28006,Rate,8.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.246904, -79.315313)"
Chemung,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",56,19325,Rate,9.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.116644, -76.812331)"
Chemung,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",56,19325,Rate,9.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.116644, -76.812331)"
Chenango,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",20,10678,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.481798, -75.570013)"
Chenango,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",20,10678,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.481798, -75.570013)"
Clinton,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",36,15086,Rate,8,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.731944, -73.548883)"
Clinton,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",36,15086,Rate,8,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.731944, -73.548883)"
Columbia,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",35,11816,Rate,9.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.276913, -73.682168)"
Columbia,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",35,11816,Rate,9.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.276913, -73.682168)"
Cortland,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,9811,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.597101, -76.143291)"
Cortland,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,9811,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.597101, -76.143291)"
Delaware,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,8698,Rate,7.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.242972, -74.997944)"
Delaware,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,8698,Rate,7.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.242972, -74.997944)"
Dutchess,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",416,61316,Rate,22.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.686216, -73.840468)"
Dutchess,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",416,61316,Rate,22.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.686216, -73.840468)"
Erie,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1038,191634,Rate,18.1,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.888143, -78.795544)"
Erie,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1038,191634,Rate,18.1,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.888143, -78.795544)"
Essex,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",8,6876,Rate,3.9,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.166026, -73.685145)"
Essex,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",8,6876,Rate,3.9,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.166026, -73.685145)"
Franklin,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,10267,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.705699, -74.340621)"
Franklin,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,10267,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.705699, -74.340621)"
Fulton,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",74,11472,Rate,21.5,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(43.06014, -74.331296)"
Fulton,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",74,11472,Rate,21.5,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(43.06014, -74.331296)"
Genesee,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",32,12499,Rate,8.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.000121, -78.172679)"
Genesee,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",32,12499,Rate,8.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.000121, -78.172679)"
Greene,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",26,8598,Rate,10.1,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.298326, -73.973376)"
