"stateFIPS","State","countyFIPS","County","Year","Value","Pollutant"
"01","Alabama","01001","Autauga","2005","0.72","Pollutant: Benzene"
"01","Alabama","01001","Autauga","2005","2.60","Pollutant: Formaldehyde"
"01","Alabama","01001","Autauga","2005","2.87","Pollutant: Acetaldehyde"
"01","Alabama","01001","Autauga","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01001","Autauga","2005","0.03","Pollutant: 1,3-butadiene"
"01","Alabama","01001","Autauga","2011","0.54","Pollutant: Benzene"
"01","Alabama","01001","Autauga","2011","2.87","Pollutant: Formaldehyde"
"01","Alabama","01001","Autauga","2011","3.59","Pollutant: Acetaldehyde"
"01","Alabama","01001","Autauga","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01001","Autauga","2011","0.04","Pollutant: 1,3-butadiene"
"01","Alabama","01003","Baldwin","2005","0.84","Pollutant: Benzene"
"01","Alabama","01003","Baldwin","2005","1.94","Pollutant: Formaldehyde"
"01","Alabama","01003","Baldwin","2005","1.92","Pollutant: Acetaldehyde"
"01","Alabama","01003","Baldwin","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01003","Baldwin","2005","0.04","Pollutant: 1,3-butadiene"
"01","Alabama","01003","Baldwin","2011","0.31","Pollutant: Benzene"
"01","Alabama","01003","Baldwin","2011","1.89","Pollutant: Formaldehyde"
"01","Alabama","01003","Baldwin","2011","2.44","Pollutant: Acetaldehyde"
"01","Alabama","01003","Baldwin","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01003","Baldwin","2011","0.02","Pollutant: 1,3-butadiene"
"01","Alabama","01005","Barbour","2005","0.55","Pollutant: Benzene"
"01","Alabama","01005","Barbour","2005","2.41","Pollutant: Formaldehyde"
"01","Alabama","01005","Barbour","2005","2.59","Pollutant: Acetaldehyde"
"01","Alabama","01005","Barbour","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01005","Barbour","2005","0.03","Pollutant: 1,3-butadiene"
"01","Alabama","01005","Barbour","2011","0.35","Pollutant: Benzene"
"01","Alabama","01005","Barbour","2011","2.52","Pollutant: Formaldehyde"
"01","Alabama","01005","Barbour","2011","3.34","Pollutant: Acetaldehyde"
"01","Alabama","01005","Barbour","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01005","Barbour","2011","0.02","Pollutant: 1,3-butadiene"
"01","Alabama","01007","Bibb","2005","0.25","Pollutant: Benzene"
"01","Alabama","01007","Bibb","2005","2.64","Pollutant: Formaldehyde"
"01","Alabama","01007","Bibb","2005","2.90","Pollutant: Acetaldehyde"
"01","Alabama","01007","Bibb","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01007","Bibb","2005","0.01","Pollutant: 1,3-butadiene"
"01","Alabama","01007","Bibb","2011","0.35","Pollutant: Benzene"
"01","Alabama","01007","Bibb","2011","2.72","Pollutant: Formaldehyde"
"01","Alabama","01007","Bibb","2011","3.47","Pollutant: Acetaldehyde"
"01","Alabama","01007","Bibb","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01007","Bibb","2011","0.02","Pollutant: 1,3-butadiene"
"01","Alabama","01009","Blount","2005","0.51","Pollutant: Benzene"
"01","Alabama","01009","Blount","2005","2.41","Pollutant: Formaldehyde"
"01","Alabama","01009","Blount","2005","2.67","Pollutant: Acetaldehyde"
"01","Alabama","01009","Blount","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01009","Blount","2005","0.03","Pollutant: 1,3-butadiene"
"01","Alabama","01009","Blount","2011","0.36","Pollutant: Benzene"
"01","Alabama","01009","Blount","2011","2.26","Pollutant: Formaldehyde"
"01","Alabama","01009","Blount","2011","2.97","Pollutant: Acetaldehyde"
"01","Alabama","01009","Blount","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01009","Blount","2011","0.02","Pollutant: 1,3-butadiene"
"01","Alabama","01011","Bullock","2005","0.44","Pollutant: Benzene"
"01","Alabama","01011","Bullock","2005","2.81","Pollutant: Formaldehyde"
"01","Alabama","01011","Bullock","2005","2.66","Pollutant: Acetaldehyde"
"01","Alabama","01011","Bullock","2005","0.61","Pollutant: Carbon tetrachloride"
"01","Alabama","01011","Bullock","2005","0.01","Pollutant: 1,3-butadiene"
"01","Alabama","01011","Bullock","2011","0.31","Pollutant: Benzene"
"01","Alabama","01011","Bullock","2011","2.65","Pollutant: Formaldehyde"
"01","Alabama","01011","Bullock","2011","3.47","Pollutant: Acetaldehyde"
"01","Alabama","01011","Bullock","2011","0.55","Pollutant: Carbon tetrachloride"
"01","Alabama","01011","Bullock","2011","0.02","Pollutant: 1,3-butadiene"
"01","Alabama","01013","Butler","2005","0.31","Pollutant: Benzene"
