"state","lat","long"
"Alabama","32.806671","32.806671"
"Alaska","61.370716","61.370716"
"Arizona","33.729759","33.729759"
"Arkansas","34.969704","34.969704"
"California","36.116203","36.116203"
"Colorado","39.059811","39.059811"
"Connecticut","41.597782","41.597782"
"Delaware","39.318523","39.318523"
"District of Columbia","38.897438","38.897438"
"Florida","27.766279","27.766279"
"Georgia","33.040619","33.040619"
"Hawaii","21.094318","21.094318"
"Idaho","44.240459","44.240459"
"Illinois","40.349457","40.349457"
"Indiana","39.849426","39.849426"
"Iowa","42.011539","42.011539"
"Kansas","38.526600","38.526600"
"Kentucky","37.668140","37.668140"
"Louisiana","31.169546","31.169546"
"Maine","44.693947","44.693947"
"Maryland","39.063946","39.063946"
"Massachusetts","42.230171","42.230171"
"Michigan","43.326618","43.326618"
"Minnesota","45.694454","45.694454"
"Mississippi","32.741646","32.741646"
"Missouri","38.456085","38.456085"
"Montana","46.921925","46.921925"
"Nebraska","41.125370","41.125370"
"Nevada","38.313515","38.313515"
"New Hampshire","43.452492","43.452492"
"New Jersey","40.298904","40.298904"
"New Mexico","34.840515","34.840515"
"New York","42.165726","42.165726"
"North Carolina","35.630066","35.630066"
"North Dakota","47.528912","47.528912"
"Ohio","40.388783","40.388783"
"Oklahoma","35.565342","35.565342"
"Oregon","44.572021","44.572021"
"Pennsylvania","40.590752","40.590752"
"Rhode Island","41.680893","41.680893"
"South Carolina","33.856892","33.856892"
"South Dakota","44.299782","44.299782"
"Tennessee","35.747845","35.747845"
"Texas","31.054487","31.054487"
"Utah","40.150032","40.150032"
"Vermont","44.045876","44.045876"
"Virginia","37.769337","37.769337"
"Washington","47.400902","47.400902"
"West Virginia","38.491226","38.491226"
"Wisconsin","44.268543","44.268543"
"Wyoming","42.755966","42.755966"
